,Unnamed: 0,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
10,10,2130318,92629,57173,35456,9965,10411,11288,10868,14641,20127,15329,22313.0,204.0,1902.0,1447.0,20955,45808,56922,35707,1378.0,44903.0,28133.0,9996.0,6262.0,1957.0,3999559120,2429255095,1570304025,428828323,434354408,468002265,457479826,640590273,909812825,660491200,981400163.0,7962513.0,34620994.0,40019525.0,876416022,2059139903,2533663429,1465895691,45500216.0,1863391294.0,1303651711.0,473738085.0,237788685.0,75489129.0,45.0,385128,180166,204963,30475,84569,75600,57796,59552,77136,57463,61834,57919,66525,91738,49649,49423,50126,51101,50974,56480,65310,61714,266.0,37.0,1.0,1.0,,,,,,,,103606,626015,367926,454100,682044,296793,3
11,11,2130317,706,417,289,84,74,74,83,102,140,149,74.0,,18.0,55.0,335,224,464,242,,130.0,214.0,93.0,185.0,84.0,28891079,16788061,12103018,3485893,2909559,2602800,3327866,4461943,5605315,6497703,4833771.0,,223097.0,1440836.0,13283575,9109800,21872815,7018264,,5019685.0,10578522.0,3848425.0,6618549.0,2825898.0,2.0,477008,226535,250474,62273,48842,63994,65467,82538,153897,129807,94122,53934,54615,81691,62841,67263,66423,66116,66160,65470,71002,74574,107.0,9.0,,,,,,,,,,63176,718135,293121,358004,557500,214751,4
12,12,2130315,1458,969,489,193,179,144,157,296,283,206,471.0,,,,333,654,840,618,36.0,552.0,429.0,218.0,160.0,63.0,64344230,41792634,22551596,9024224,7394950,6083551,6862769,12427140,13345792,9205804,23990773.0,,,,11860883,28492574,38823017,25521213,1395987.0,26319361.0,20034578.0,9047706.0,5556017.0,1990581.0,5.0,603305,290213,313092,88105,94929,116430,98347,88331,117162,134802,125466,84689,84559,104977,68814,90347,90739,89443,89384,88384,78108,76901,1372.0,15.0,2.0,,,,,,,,,73375,1635336,497289,616567,1450044,384475,4
13,13,2130314,5855,4280,1575,679,916,788,890,1007,1046,529,835.0,,,196.0,2251,2573,3868,1941,24.0,451.0,946.0,1583.0,1583.0,1223.0,205699387,145227209,60472178,22562284,31368396,27351595,31390142,32554792,39233398,21238780,34451508.0,,,5679984.0,69982422,95585473,134966739,68591460,1188774.0,18222185.0,39792064.0,50310926.0,53485545.0,40558703.0,11.0,1296856,588321,708534,163444,149460,202424,199982,218325,363219,339782,257536,145657,147655,229028,177198,183533,180381,181606,180711,181153,193410,196058,202.0,21.0,1.0,,,,,,,,,58498,404164,202783,249958,372185,167790,4
14,14,2130313,690,560,130,100,122,116,115,107,81,49,151.0,,,10.0,85,444,429,240,,60.0,133.0,87.0,230.0,158.0,40941045,33282095,7658950,8270248,6268242,7740148,5602675,5400782,3724457,3934493,12796955.0,,,321447.0,5236117,22586526,23324491,14803035,,2512385.0,5077239.0,3600667.0,12125355.0,14811879.0,9.0,974321,445112,529209,132640,140225,200135,160923,135946,204451,297352,204454,101998,99219,144568,126729,140413,136985,136864,136650,137407,141156,144848,3469.0,33.0,,1.0,,,,,,,,44603,586559,308556,342641,609508,250482,4
15,15,2130312,1222,739,483,69,146,193,169,162,276,207,,54.0,184.0,246.0,622,116,591,631,16.0,96.0,343.0,215.0,200.0,352.0,20557125,11745178,8811947,1052517,2558307,3056909,2473799,2603646,4763214,4048733,,837404.0,2996217.0,4485872.0,10347711,1889921,10540214,10016911,273820.0,1434455.0,5141539.0,4356801.0,3237526.0,6112984.0,4.0,327946,154588,173358,54324,40469,66223,58018,46285,62627,66788,62148,44785,46515,66007,41702,47323,46764,46595,46320,46855,47227,46862,619.0,9.0,,,,,,,,,,88812,1106620,525381,648744,1005232,389965,4
16,16,2130311,44123,30312,13811,4039,6068,5823,6338,8044,9834,3977,2991.0,24.0,590.0,2296.0,17765,20457,24617,17466,412.0,11863.0,14761.0,7612.0,5439.0,1992.0,1863241192,1266772031,596469161,135285354,239542265,262489202,286438803,343016407,417493122,178976039,180804002.0,15009405.0,63835403.0,45951843.0,697252430,860388109,1129085735,588233109,8866842.0,412199407.0,611165808.0,381435877.0,215419465.0,88231444.0,19.0,837553,401481,436073,146388,125124,144480,147874,115496,158191,195851,152733,98986,109791,168759,111430,117275,117353,118593,117097,119719,128694,118821,377.0,17.0,,2.0,,,,,,,,100941,1504534,833482,1016695,1642163,701290,1
17,17,2130310,14849,10244,4605,1776,2070,2029,1631,2738,3168,1437,2153.0,,6.0,125.0,4152,8413,9849,3709,162.0,2299.0,2775.0,3130.0,3485.0,1705.0,624403522,436705494,187698028,75422808,87429672,84764309,69145395,119943310,133373159,54324869,86624134.0,,103818.0,7226241.0,179245456,351203873,400181454,144358607,8150121.0,96706134.0,108189146.0,138769080.0,131673130.0,61052454.0,9.0,209176,94266,114910,50557,20526,22009,35826,32467,47792,23792,41123,37885,40863,46809,18706,29521,30416,30581,30070,30707,29533,28348,298.0,30.0,,3.0,,,,,,,,14393,405469,202457,268708,347349,141397,4
18,18,2130306,599,513,86,37,127,117,140,92,43,43,222.0,,,,120,214,236,5,,,71.0,136.0,31.0,5.0,305135415,238196293,66939122,21501504,43741991,35690338,63363840,73898620,33469561,33469561,146009954.0,,,,35406096,90249804,144345275,988833,,,31759268.0,91910493.0,20922720.0,741625.0,5.0,146713,72759,73953,4657,32452,44263,31219,17995,16129,37237,33213,20962,19602,20307,15393,22021,22664,22461,22456,21772,17841,17500,235.0,4.0,,,,,,,,,,44448,266232,125084,136416,213121,89515,4
19,19,2130303,7126,4958,2168,754,961,1106,878,1259,1414,754,2355.0,,,,1343,3428,3883,2861,10.0,2696.0,2747.0,836.0,320.0,134.0,367317194,256742373,110574821,38692201,50954768,60627041,43648662,62819701,70211531,40363290,122968553.0,,,,68077742,176270899,206642775,134570119,309843.0,131473235.0,146076151.0,41627450.0,14944776.0,6781437.0,7.0,414182,209919,204263,21126,96272,107509,79051,51766,58458,73337,76208,59556,61065,90067,53949,59645,63048,62096,62497,65174,55512,46209,242.0,5.0,,,,,,,,,,164044,1659663,652777,793291,1644781,635309,4
20,20,2130302,1494,826,668,96,134,201,122,273,418,250,383.0,,,,183,928,629,805,12.0,616.0,616.0,129.0,48.0,12.0,87666354,49074082,38592272,4227958,7058746,11575252,10284387,15927739,24183195,14409077,23032047.0,,,,11177361,53456946,37203592,42012920,510271.0,30702052.0,34403026.0,8859980.0,4390238.0,350944.0,2.0,58104,28171,29934,4145,14743,14325,11003,7184,6706,7902,10583,10078,10578,12840,6124,8323,8826,8676,8634,9160,8184,6302,58.0,,,,,,,,,,,93280,1796156,963810,1156999,2085421,730281,4
21,21,2130301,3716,3129,587,553,491,730,559,796,463,124,327.0,,,51.0,1174,2164,2152,1084,12.0,581.0,989.0,914.0,480.0,259.0,186788401,156935481,29852920,25807707,23791878,40158497,28741108,38436291,21690784,8162136,14966268.0,,,1290244.0,60593483,109938406,105523344,48723801,412201.0,28483623.0,48436389.0,42583705.0,21688526.0,12642699.0,7.0,68044,33932,34111,8140,10366,15673,12704,8563,12598,10746,13918,11521,11447,13329,7082,10498,11031,10847,10658,10616,7692,6702,35.0,3.0,,,,,,,,,,54847,1126653,480592,592813,992854,338591,4
22,22,2130299,19677,14122,5555,2392,2541,2956,3069,3164,3013,2542,,,,1205.0,7100,11372,9095,9037,95.0,4369.0,4293.0,3446.0,3785.0,2146.0,1069107212,783844874,285262338,126656162,142841589,160003330,172664804,181678989,164918790,120343548,,,,52434704.0,346336989,670335519,497888667,448425269,4072836.0,224113780.0,231801893.0,206677126.0,188953794.0,90694507.0,2.0,41413,17327,24087,6565,6274,6923,8014,6417,7221,4074,6783,8061,8946,10112,3438,5478,5699,5775,5773,6177,6607,5904,1850.0,11.0,,,,,,,,,,192023,4061330,3403898,4139076,5635407,1843648,5
23,23,2130295,5588,4009,1579,804,752,713,606,1134,875,704,1707.0,11.0,,78.0,961,2831,3746,1828,34.0,1509.0,1382.0,1258.0,738.0,653.0,254247274,188988947,65258327,30768418,37496609,33021462,35632170,52070288,39702770,25555557,67679799.0,436293.0,,1764382.0,42790039,141576761,171634781,81858939,880122.0,72503839.0,60757798.0,64502520.0,30038133.0,24811308.0,3.0,272033,124707,147325,27939,57454,52699,37776,36874,59290,58092,48013,31153,36147,58808,39819,38374,37683,37973,37761,38063,40896,41280,122.0,18.0,1.0,,,,1.0,,,,,32860,561925,280570,320797,512215,258180,4
24,24,2130294,5221,3601,1620,759,721,709,601,811,928,692,26.0,198.0,1268.0,1434.0,2170,125,3561,1660,91.0,339.0,602.0,1225.0,1029.0,1935.0,124458867,95062812,29396055,18260143,30937815,12945124,13357657,19562073,18790174,10605881,9136192.0,3349044.0,33706241.0,24411244.0,45764911,8091235,105715051,18743816,841858.0,3175771.0,7922309.0,14632485.0,32907702.0,64978742.0,3.0,292615,135005,157610,49710,49653,44508,40030,36560,72156,58924,60395,42634,42872,54053,33736,42082,42200,42283,42132,42473,40815,40630,102.0,12.0,,2.0,,,,,,,,134637,1011415,528532,634379,993504,454187,4
25,25,2130290,75466,54837,20629,8963,10135,11660,11412,12667,11968,8661,6926.0,8028.0,6004.0,8284.0,25232,20992,42321,32952,813.0,19084.0,17532.0,12890.0,12516.0,12438.0,1784919740,1166682248,618237492,191345783,210600831,243859000,238416315,282460319,360246703,257990789,348075655.0,43337701.0,73703698.0,149637092.0,486326350,683839244,1263650029,503743063,6766256.0,440956106.0,407721741.0,284658240.0,322674120.0,304616628.0,26.0,590709,279731,310979,54316,144028,105584,72657,76662,137461,137333,120394,69909,71669,111022,80381,84791,85956,85173,84829,85027,83186,81748,417.0,30.0,1.0,1.0,,,1.0,,,,,155173,1854573,807698,938183,1634765,668812,3
26,26,2130285,105616,62795,42821,10183,11159,12837,12213,16403,23360,19461,32838.0,3873.0,264.0,1594.0,19461,47586,68243,37332,1261.0,54756.0,29725.0,9637.0,7535.0,2660.0,4548283130,2686555937,1861727193,421684332,467742996,548506278,535562789,713059542,995543929,866183264,1489757272.0,188560749.0,8228085.0,46452073.0,782528427,2032756524,2975145612,1567315345,48112111.0,2342426141.0,1321341228.0,423733974.0,292561772.0,114285730.0,63.0,950734,494388,456347,75463,331698,198142,114708,98806,131917,110911,144776,127547,156313,257779,153408,125370,126549,132838,132159,140090,153031,140698,615.0,31.0,1.0,,,,,,,,,442032,4940404,2121788,2481671,4774204,2188414,3
27,27,2130283,4873,3617,1256,755,587,899,747,629,644,612,376.0,11.0,231.0,554.0,2181,1520,3260,1579,,667.0,774.0,601.0,1487.0,1309.0,110985283,80523988,30461295,17428642,18124971,15970920,15857535,13141920,18365246,12096049,17385115.0,131418.0,2622889.0,7413949.0,43417235,40014677,85707733,24051232,,9327943.0,9672553.0,10099292.0,51243745.0,29415433.0,5.0,1037710,530441,507268,66784,311564,212521,129262,128833,188746,197321,173333,122843,143162,234478,166572,138262,136739,142508,143026,145328,166306,165542,25.0,5.0,,,,,,,,,,435243,4961724,2125640,2497114,4809345,2214467,5
28,28,2130281,257,194,63,19,25,56,63,31,38,25,45.0,,6.0,,107,99,200,57,,55.0,31.0,64.0,44.0,63.0,7810479,5625251,2185228,577207,717743,1633742,1830749,865810,1106731,1078497,1106102.0,,188219.0,,3684082,2832076,5863035,1947444,,1700248.0,1037717.0,2129389.0,1318791.0,1624334.0,1.0,62915,30347,32568,9773,8875,8927,9644,9400,16295,18187,12283,6305,6316,10657,9168,8886,8806,8800,8680,8763,9274,9704,1.0,4.0,,,,,1.0,,,,,62922,414929,187719,212634,297589,125598,4
29,29,2130279,810,578,232,132,132,70,111,133,131,101,182.0,,,,202,426,516,294,,70.0,100.0,80.0,348.0,212.0,26862326,19139659,7722667,4514166,4453437,2540484,4291495,3340077,4615381,3107286,5141697.0,,,,6710521,15010108,15981767,10880559,,2085020.0,2945342.0,2692306.0,11781364.0,7358294.0,3.0,402764,190991,211772,30069,95742,78486,54946,54610,88911,124972,84140,39452,39535,60934,53730,57365,54830,55739,56422,55044,59811,63553,120.0,14.0,1.0,1.0,,,,,,,,171449,2087393,811667,954795,1756790,789513,4
30,30,2130278,10502,6698,3804,1026,1236,977,1404,2055,2026,1778,539.0,,9.0,594.0,3725,5635,6851,3651,30.0,585.0,1839.0,2488.0,2882.0,2678.0,360234238,231191852,129042386,29116123,42621288,26259292,42115140,91080009,70732803,58309583,17304329.0,,448997.0,30589397.0,103242394,208649121,221893048,138341190,402061.0,21162290.0,52068727.0,110957838.0,89715183.0,85928139.0,6.0,326624,145856,180768,55788,43350,45382,53133,48808,80165,98094,66607,35414,36008,50113,40387,46306,44703,45301,45345,44991,49389,50592,75.0,12.0,,,,,,,,,,76387,599666,316496,397936,604537,248896,4
31,31,2130277,381,277,104,47,47,68,69,46,69,35,12.0,,,12.0,242,115,311,47,,47.0,46.0,47.0,115.0,104.0,15739883,11578033,4161850,2046242,1618497,3722543,2052023,2138728,1826590,2335260,184971.0,,,809249.0,10560692,4184971,13722543,1104046,,1260116.0,1098266.0,2404624.0,6976878.0,3086705.0,3.0,238959,115992,122968,22626,49573,44431,35444,34030,52857,68352,50588,26326,25049,37919,30726,34230,33336,33608,33269,33306,34812,36398,98.0,2.0,,,,,,,,,,118288,890060,388748,441837,728376,315858,4
32,32,2130275,3629,2782,847,535,480,599,565,603,685,162,754.0,,,,941,1934,2304,1232,,502.0,1505.0,989.0,317.0,224.0,147280114,96131876,51148238,13187133,17282164,18610449,20738581,26313549,42770725,8377513,46984751.0,,,,27125754,73169609,105372648,38588793,,12641666.0,61567655.0,52130390.0,12042733.0,5578998.0,3.0,231613,125488,106126,12391,47983,58819,43267,33699,35454,77956,48500,21123,19009,29532,35496,34188,35556,35293,34919,34096,29126,28437,168.0,1.0,,,,,,,,,,406193,4833597,1671104,1930600,4330914,1553011,5
33,33,2130274,31406,22675,8731,3440,3990,4914,4604,5727,5736,2995,2155.0,,40.0,1123.0,11067,17021,20275,9046,18.0,8549.0,8472.0,4099.0,4367.0,3817.0,1748044352,1251247848,496796504,176799832,213112591,290952643,238972622,331410160,339428063,157368441,110653583.0,,1684949.0,53701404.0,655404883,926599533,1118779503,484215778,1363074.0,458304492.0,444255476.0,217063261.0,271570701.0,210438279.0,20.0,505238,251969,253268,34376,123502,100461,69115,70870,106913,94599,97637,59081,62649,118155,73116,70050,73352,73003,72420,76971,75515,63927,389.0,16.0,,2.0,,,,,,,,288101,3716495,1940946,2271693,4363908,1910256,5
34,34,2130273,11237,7511,3726,1056,1342,1598,1496,2019,2193,1533,1235.0,,46.0,323.0,3661,5972,6405,4430,46.0,3422.0,3194.0,1557.0,1648.0,968.0,527076493,339960997,187115496,47536247,58570943,74786277,68052263,91015267,112582724,74532772,57681176.0,,1916791.0,12380400.0,147543811,307554315,301480816,195576256,1529102.0,152964464.0,165204236.0,67196822.0,69597520.0,40564928.0,13.0,647795,292462,355333,101004,88345,93687,91059,100263,173436,107691,124313,87604,99226,147567,81393,91278,92607,92527,91562,94562,95696,89562,141.0,39.0,,1.0,,,,,,,,130723,2394880,1328811,1620279,2632213,949911,5
35,35,2130271,1132,758,374,136,172,156,119,175,123,251,134.0,32.0,124.0,244.0,407,191,576,547,,165.0,108.0,77.0,254.0,520.0,39551186,25761772,13789414,4885073,4996693,5630309,4404404,5845293,3475056,10314358,6524597.0,576266.0,2347330.0,7868655.0,12985379,9248959,21422720,16798724,,4223565.0,5186588.0,2088547.0,11295157.0,15427588.0,5.0,294588,133478,161110,32775,48178,50700,49804,39834,73296,58870,55238,35227,37441,62740,45073,41287,41437,40895,39938,41055,44783,45194,467.0,28.0,,1.0,,,,,,,,44870,949723,432262,477316,788092,300838,4
36,36,2130266,7104,4797,2307,815,1053,827,817,1285,1381,926,1373.0,,,12.0,1988,3731,4729,2375,53.0,2905.0,2098.0,1015.0,729.0,304.0,226073846,149705799,76368047,24899991,32570162,24172248,25457655,42605743,45038825,31329222,44364741.0,,,347353.0,62561555,118800197,154184388,71889458,1182571.0,92219523.0,67018674.0,31888939.0,23546969.0,10217170.0,5.0,95728,55261,40467,5626,41354,20261,9434,7804,11249,21935,17426,12451,12770,18204,12940,13866,13916,14225,14165,14189,13279,12089,129.0,5.0,,,,,,,,,,228176,2853773,1373821,1518387,2793186,1282269,5
37,37,2130265,26349,16964,9385,2622,3080,3434,3465,4363,5294,4091,6877.0,,,58.0,5218,14196,16817,9532,652.0,14482.0,7329.0,1631.0,1823.0,432.0,1010354763,641777351,368577412,92869191,113339043,131227616,133012767,171328734,211306456,157270956,280252458.0,,,1346932.0,182385657,546369716,669352121,341002642,25831760.0,546747149.0,293776281.0,61521548.0,67075552.0,15402473.0,9.0,82241,47356,34885,4877,39105,16967,7635,5756,7901,15550,15141,11967,12470,16938,10177,11819,11906,12194,12120,12188,11621,10393,115.0,3.0,,,,,,,,,,227106,2796237,1345261,1485786,2744156,1259356,5
38,38,2130264,1715,1308,407,312,226,246,258,266,193,214,129.0,,,33.0,590,963,1059,624,,131.0,384.0,373.0,601.0,194.0,71665395,54779307,16886088,15326632,8381416,11184152,9394259,10492848,8826210,8059878,6269985.0,,,857433.0,21644847,42893130,46276028,23712012,,5142071.0,14008075.0,17666115.0,24534188.0,8637591.0,3.0,217795,97201,120593,43328,29591,37579,33092,28911,45292,34777,45338,27514,32158,47182,30824,31616,31839,31217,31354,30838,30607,30324,65.0,2.0,,,,,,,,,,22961,330701,142785,170426,263326,110826,4
39,39,2130263,3184,2247,937,319,395,466,494,573,803,134,328.0,,8.0,205.0,1356,1287,1819,1365,4.0,759.0,1041.0,621.0,545.0,214.0,106586599,75315402,31271197,10712840,14730058,13026226,16947842,19898436,26218962,5052235,14175809.0,,221225.0,5167194.0,39930396,47091975,61416758,45169841,56711.0,29907766.0,35310253.0,19108076.0,17035608.0,5168185.0,4.0,18542,8781,9761,1328,2727,3246,2448,3281,5513,4323,3496,2064,2282,3664,2713,2657,2632,2603,2598,2621,2665,2767,11.0,3.0,,,,,,,,,,106955,1102230,549532,623974,994129,380710,4
40,40,2130262,9335,5971,3364,1107,1019,1261,1194,1390,1830,1534,1911.0,,,72.0,2941,4411,5241,4094,133.0,2998.0,2563.0,1576.0,1346.0,719.0,327011667,210797303,116214364,39487383,37677589,48247731,39728022,45656578,62901626,53312738,66333539.0,,,1401918.0,101184438,158091772,188437881,138573786,6415408.0,100554413.0,91317572.0,61932323.0,44282571.0,22509380.0,6.0,298228,138593,159635,32754,48296,54850,39513,44321,78493,74985,59193,34072,34492,53860,41626,42057,41739,42095,41875,41669,43979,44812,18.0,8.0,,,,,,,,,,76850,935013,460294,525358,841223,322543,4
